REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
HEWMOL;C12 H24 O6 Tl1;3;F 2 3;196;0.624722;0.375279;0.624722;4.54241;392.586;20.789
HEWMOL;Cl4 Mn1;-4 3 m;F 2 3;196;0.25;0.75;0.75;2.33329;53.2088;20.789
HEWMOL;Cl4 Tl1;-4 3 m;F 2 3;196;0.75;0.75;0.75;2.40171;58.0278;20.789
HEWMOL;Cl4 Tl1;-4 3 m;F 2 3;196;1;1;1;2.40891;58.5513;20.789
HOVQAK;C12 H24 O6;3;F 2 3;196;0.626593;0.126593;0.126593;4.56663;398.9;21.264
HOVQAK;I4 Tl1;-4 3 m;F 2 3;196;0;0;0;2.76633;88.6719;21.264
HOVQAK;I4 Tl1;-4 3 m;F 2 3;196;0.25;0.25;0.25;2.74865;86.9827;21.264
JUKXES;C12 O6 Tl1;3 m;F 2 3;196;0.623581;0.376419;0.623581;3.68336;209.318;20.897
JUKXES;Br4 Cu1;-4 3 m;F 2 3;196;0.25;0.75;0.75;2.31284;51.8218;20.897
JUKXES;Br4 Tl1;-4 3 m;F 2 3;196;0.75;0.75;0.75;2.55172;69.5948;20.897
JUKXES;Br4 Tl1;-4 3 m;F 2 3;196;1;1;1;2.53725;68.4169;20.897
JUKXES01;C12 H24 O6 Tl1;3;F 2 3;196;0.375159;0.624841;0.375158;4.52427;387.901;20.674
JUKXES01;Br4 Cu1;-4 3 m;F 2 3;196;0.75;0.25;0.25;2.32755;52.8167;20.674
JUKXES01;Br4 Tl1;-4 3 m;F 2 3;196;0.25;0.25;0.25;2.55672;70.0045;20.674
JUKXES01;Br4 Tl1;-4 3 m;F 2 3;196;0;0;0;2.54598;69.1258;20.674
BEQCAE;Au4 C72 Co2 H84 N4 O8 P4 S4;2;F 2 3;196;0;0;0.247292;8.38497;2469.34;37.6708
BEQBEH;Au4 C72 Co2 H84 N4 O8 P4 S4;2;F 2 3;196;0;0;0.24742;8.43679;2515.4;37.8997
BEQCAE;F6 Si1;m -3 m;F 2 3;196;0;0;0.5;1.70272;20.6779;37.6708
BEQCAE;F6 Si1;m m m;F 2 3;196;0.25;0.133043;0.25;1.70432;20.7363;37.6708
KUSLUH;C4 O1;2;F 2 3;196;0.25;-0.25;0.04734;1.36656;10.6896;32.664
KUSLUH;C72 Cd8 Cl4 Se13;2 3;F 2 3;196;0;0;0;8.00399;2147.81;32.664
NISWER;B4 C72 H88 N24 Tl4;2 3;F 2 3;196;0.5;0.5;0.5;7.51093;1774.83;20.5104
CAXFIT;C48 H48 N12;2 3;F 2 3;196;0.25;0.25;0.25;7.58784;1829.91;24.586
KUSLUH;C180 Cd17 P4 Se28;2 3;F 2 3;196;0.5;0;0;11.0678;5678.84;32.664
NULTUJ;Br4 C48 H96 K4 Mn1 O24;2 3;F 2 3;196;0.25;0.75;0.25;6.84693;1344.51;20.986
NULTUJ;Br4 Tl1;-4 3 m;F 2 3;196;0.25;0.25;0.25;2.55496;69.8598;20.986
NULTUJ;Br4 Tl1;-4 3 m;F 2 3;196;0;0;0;2.54951;69.4135;20.986
CAXFIT;C78 H108 N12;2 3;F 2 3;196;0.5;0.5;0.5;9.95836;4136.56;24.586
NULVAR;Br4 C48 H96 K4 O24 Zn1;2 3;F 2 3;196;0.25;0.75;0.25;6.84113;1341.09;20.9682
NULVAR;Br4 Tl1;-4 3 m;F 2 3;196;0.25;0.25;0.25;2.55606;69.9502;20.9682
NULVAR;Br4 Tl1;-4 3 m;F 2 3;196;0;0;0;2.55679;70.0098;20.9682
QITDUS;C60 H96 N12 Ni6 O24 Sm1;2 3;F 2 3;196;0;0;0;7.59939;1838.28;21.61
QITDUS;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.46724;13.2306;21.61
QITDUS;F6 P1;m -3 m;F 2 3;196;0.375643;0.375643;0.375357;1.56733;16.1272;21.61
QITDIG;C60 H96 N12 Ni6 O24 Sm1;2 3;F 2 3;196;0;0;0;7.5779;1822.73;21.278
