REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
GIGROD;B6 H6;m -3 m;F m 3 m;225;0;0;0;2.32883;52.9044;9.564
GIGRIX;B6 H6;m -3 m;F m 3 m;225;0;0;0;2.27339;49.2151;8.839
GOLSIM01;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.00277;33.6487;12.992
KIBCOQ;I6 Te1;m -3 m;F m -3 m;225;0;0;0;2.94076;106.525;12.307
CAQQUG;Mo6 O19;m -3 m;F m 3 m;225;0;0.5;0.5;3.95656;259.435;13.8148
GOLSIM01;Cl6 Zr1;m -3 m;F m -3 m;225;0.5;0;0;2.45107;61.6799;12.992
MATEBR01;Br6 Te1;m -3 m;F m -3 m;225;0.5;0;0;2.71212;83.5609;11.445
MATEHI01;I6 Te1;m -3 m;F m -3 m;225;0;0;0;2.94828;107.345;12
GOLSUY;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.94935;31.0275;12.9926
MIPYOB;I6 Sn1;m -3 m;F m -3 m;225;0;0;0;2.85295;97.2652;11.6276
CAQQUG;C4 H12 N1;-4 3 m;F m 3 m;225;0.25;0.75;0.25;2.00306;33.6634;13.8148
GOLSUY;Cl6 Hf1;m -3 m;F m -3 m;225;0;0;0;2.44261;61.0432;12.9926
MACSNA05;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.97644;32.339;12.9777
PEFBUY;Cl14 Mo6;m -3 m;F m -3 m;225;0.5;0;0;4.24946;321.422;18.38
MACSNA05;Cl6 Sn1;m -3 m;F m -3 m;225;0;0;0;2.41502;58.9981;12.9777
OMOHIH;Cl18 Ta6;m -3 m;F m -3 m;225;0.5;0;0.5;4.60579;409.248;18.1781
PEFBUY;C1 H6 N3;-6 m 2;F m -3 m;225;0.16028;0.16028;0.16028;1.89052;28.3019;18.38
QINBAT;H4 N1;-4 3 m;F m -3 m;225;0.75;0.75;0.75;0.85563;2.62382;9.76281
PESPIO01;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.02817;34.9452;11.669
OMOHIH;C4 N1;-4 3 m;F m -3 m;225;0.63264;0.13264;0.86736;1.41016;11.7458;18.1781
QALVAE;B6 H6;m -3 m;F m -3 m;225;0.5;0.5;0.5;2.42867;60.0039;9.10295
QALVAE;H4 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.01853;4.4259;9.10295
PESPIO01;F6 Zr1;m -3 m;F m -3 m;225;0.5;0;0;1.97439;32.2387;11.669
QINBAT;Cl6 Ru1;m -3 m;F m -3 m;225;0.5;0.5;0.5;2.32658;52.7506;9.76281
TMAMPC;C4 N1;-4 3 m;F m 3 m;225;0.25;0.25;0.25;1.48494;13.7151;12.72
TMAMPC;Cl6 Pt1;m -3 m;F m 3 m;225;0;0;0;2.29342;50.5271;12.72
SAJHES07;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.02502;34.7829;11.4895
SAJHES08;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.02367;34.7132;11.5092
SAJHES07;F6 Ti1;m -3 m;F m -3 m;225;0;0;0;1.82913;25.6335;11.4895
SAJHES09;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.02519;34.7914;11.527
SAJHES08;F6 Ti1;m -3 m;F m -3 m;225;0;0;0;1.82996;25.6686;11.5092
SAJHES09;F6 Ti1;m -3 m;F m -3 m;225;0;0;0;1.83164;25.7393;11.527
XINNIU;H4 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;0.855645;2.62396;8.373
TMAMPC05;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;2.01814;34.4294;12.8278
TMAMPC05;Cl6 Pt1;m -3 m;F m -3 m;225;0.5;0;0;2.30387;51.2214;12.8278
XINNIU;F6 Si1;m -3 m;F m -3 m;225;0;0;0;1.68716;20.1161;8.373
ZZZWNI04;C4 N1;-4 3 m;F m -3 m;225;0.75;0.75;0.75;1.36138;10.5684;12.864
ZZZWNI04;Cl6 Pu1;m -3 m;F m -3 m;225;1;1;0;2.56637;70.7999;12.864
TOFZUM;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.93139;30.1776;13.1272
TOGBEZ;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.93196;30.2044;13.1147
TOFZUM;Cl6 U1;m -3 m;F m -3 m;225;0;0;0;2.61494;74.8963;13.1272
TOGBEZ;Cl6 Np1;m -3 m;F m -3 m;225;0;0;0;2.59474;73.1744;13.1147
ZZZWNI01;C4 H12 N1;-4 3 m;F m -3 m;225;0.25;0.25;0.25;1.95751;31.4186;13.0879
ZZZWNI01;Cl6 Pu1;m -3 m;F m -3 m;225;0;0;0;2.57701;71.6841;13.0879
