REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
CAFHEX;C18 Co1 H21 N10;3;I -4 3 d;220;0.111852;0.111852;0.111852;5.11709;561.235;20.4455
BAKYOD;C42 H30 N12 Ni1;3;I -4 3 d;220;0.936097;0.436097;0.0639032;6.95444;1408.84;24.977
BAKYOD;O4 P1;-4 3 m;I -4 3 d;220;0.5;0.25;0.125;1.52592;14.8825;24.977
BAKYIX;C42 Co1 H30 N12;3;I -4 3 d;220;0.936003;0.063997;0.563997;6.99852;1435.8;25.104
BAKYIX;O4 P1;-4 3 m;I -4 3 d;220;1;0.25;0.375;1.51303;14.5083;25.104
DEWJUK02;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.00209;0.00209395;1.00209;8.53952;2608.41;29.9834
DEWJUK03;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.00204;0.00203802;1.00204;8.55217;2620.02;29.9058
DEWJUK05;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.00194;0.00194301;1.00194;8.54924;2617.33;29.8024
DEWJUK04;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.00196;0.00195881;1.00196;8.55007;2618.09;29.8333
DEWJUK06;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.0019;0.00189596;1.0019;8.5492;2617.29;29.7569
DEWJUK07;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;1.00184;0.00184403;1.00184;8.5517;2619.59;29.7325
DEWJUK18;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;0.49811;0.50189;0.00188995;8.51846;2589.16;29.7864
DEWJUK19;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;0.997783;0.497783;0.00221717;8.50419;2576.17;30.0503
DEWJUK21;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;0.752279;0.247721;0.747721;8.56781;2634.42;29.9951
DEWJUK22;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;-0.502119;-0.502119;-0.502119;8.47278;2547.73;29.7722
DEWJUK23;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;0.502223;0.497777;0.997777;8.53988;2608.74;29.6561
FINBIP;C2 H3 N3 O6;3;I -4 3 d;220;0.012435;-0.012435;0.487565;2.36489;55.4001;13.6162
EPAMIS;C6 H9 O8 U1;3 m;I -4 3 d;220;0.455706;0.544294;1.04429;4.78994;460.328;17.0367
FOZRER01;C30 Cl1 H39 Sn1;3;I -4 3 d;220;0.447308;0.552692;0.0526922;5.11687;561.164;22.3858
GAKKEM;B1 C24 F20;-4;I -4 3 d;220;0.875;0.5;0.75;5.83686;832.94;19.213
GECNUX;C40 Mo4 O16 Rh4;-4;I -4 3 d;220;0.25;0.125;0.5;6.42943;1113.25;25.285
EMAHEF;C40 H60 O16 Rh4 W4;-4;I -4 3 d;220;0.125;0;0.75;7.24679;1594.09;25.2551
DEWJUK29;C72 Cu4 H60 I4 P4;3;I -4 3 d;220;0.247784;0.747784;0.752216;8.52428;2594.47;30.1722
HUMJUU;C9 H18 N4 O3;3;I -4 3 d;220;0.124122;0.624122;0.875878;5.28257;617.463;17.1677
IKARUJ;C9 H18 N3 P1;3;I -4 3 d;220;0.510784;0.510784;0.510784;3.00778;113.976;15.7917
ITAGOZ;C10 H30 O3 Si7;3;I -4 3 d;220;0.96666;0.96666;-0.0333403;4.68512;430.764;20.8722
GUQZEZ;C36 H54 N3 O1 V1;3;I -4 3 d;220;1.02191;0.521911;0.978089;6.00643;907.664;24.0912
ITAZEI;C21 Ga1 H24 N7;3;I -4 3 d;220;0.405679;0.594321;0.0943207;5.4239;668.362;20.2377
JAKYUP;C24 H24 O3;3;I -4 3 d;220;0.555357;0.444643;0.944643;7.00626;1440.57;20.064
JEXRIO;C4 H8 O1;2;I -4 3 d;220;0;0.25;0.512669;2.16375;42.4325;27.827
INUWEU;B1 C25 Fe1 H43 N6;3;I -4 3 d;220;0.488648;0.511352;0.0113521;6.039;922.511;22.341
JAYCUK;C33 F15 H21 Ir1 N3 S3;3;I -4 3 d;220;0.556043;0.556043;0.556043;6.39897;1097.5;23.9441
KORBUO;Au3 C37 Cl3 H31 P3;3;I -4 3 d;220;-0.474181;-0.525819;-0.025819;6.41505;1105.8;24.539
GIQHOF;C36 H90 O9 Si6 W3;3;I -4 3 d;220;1.00333;0.503327;0.996673;7.09541;1496.27;28.065
KUSGEK;C12 H4 Mn4 O16;-4;I -4 3 d;220;0.25;0.375;0;4.41074;359.426;20.733
KUSGEK;C2 H8 N2;2;I -4 3 d;220;0.279167;0.5;0.25;2.29016;50.3124;20.733
JEXRIO;C56 H64 N12 Yb4;-4;I -4 3 d;220;0;0.25;0.375;8.04861;2183.93;27.827
KOLGAW;C44 Cl4 Co4 H36 N8 O8;-4;I -4 3 d;220;0;0.25;0.375;6.89867;1375.22;23.9436
KOLGAW;H2 O1;m m 2;I -4 3 d;220;0.25;0.266485;0.5;0.870158;2.75975;23.9436
LEZVUH;C27 Cl1 H3 U1;3;I -4 3 d;220;0.0172928;0.0172928;0.0172928;4.07412;283.255;21.414
MAHFEH;C3 Co1 H9 N12 O3;3;I -4 3 d;220;0.597012;0.402988;0.902988;4.57644;401.477;16.6214
MAWSEJ;C12 Cl2 H20 N4 Ni1 O4;-4;I -4 3 d;220;0.5;0.75;0.875;5.78084;809.188;17.7548
MAWSIN;C12 Cl2 Fe1 H20 N4 O4;-4;I -4 3 d;220;0.5;0.75;0.875;5.92134;869.635;17.9144
MAJDAG;C27 Cl1 H39 Th1;3;I -4 3 d;220;-0.020231;0.520231;0.479769;4.89294;490.666;21.3159
MAWSOT;C12 Cl2 H20 Mn1 N4 O4;-4;I -4 3 d;220;0;0.25;0.875;5.96786;890.288;18.0239
KUSGEK10;C12 H4 Mn4 O16;-4;I -4 3 d;220;0.25;0.375;0;4.41074;359.426;20.733
KUSGEK10;C2 H8 N2;2;I -4 3 d;220;0.279167;0.5;0.25;2.29016;50.3124;20.733
LAFBOK;C39 H36 Ir1 N3;3;I -4 3 d;220;0.0662595;0.0662595;0.0662595;6.42437;1110.63;23.4008
MIYXOI;C24 H27 Mn3 N12 Ni1 O10;3;I -4 3 d;220;0.875027;0.375027;0.124973;6.34147;1068.18;23.469
MURROH;B1 C21 Cl1 H37 N9 Zn1;3;I -4 3 d;220;-0.0056619;0.494338;0.0056619;6.07966;941.268;22.04
MURSAU;B1 Br1 C21 H37 N9 Zn1;3;I -4 3 d;220;0.494401;0.505599;0.00559943;6.10381;952.53;22.097
NEDPUI;C12 Cl2 Cu1 H20 N4 O4;-4;I -4 3 d;220;1;0.25;0.875;5.7966;815.821;17.831
NARWIN;C27 H39 I1 U1;3;I -4 3 d;220;0.964429;0.964429;0.964429;4.8512;478.217;21.4984
MOFSAB;C44 Cl4 H36 Mn4 N8 O8;-4;I -4 3 d;220;1;0.75;0.625;6.94856;1405.27;24.287
MOFSAB;H2 O1;m m 2;I -4 3 d;220;0.991167;1;0.75;0.902275;3.07675;24.287
MUMCAZ;C44 Cd4 Cl4 H36 N8 O8;-4;I -4 3 d;220;0.5;0.25;0.125;6.98447;1427.17;24.527
OTIWAR;C84 Cu4 H84 I4 P4;3;I -4 3 d;220;0.55474;0.55474;0.55474;9.34242;3415.5;31.9068
OTIWAR01;C84 Cu4 H84 I4 P4;3;I -4 3 d;220;0.555035;0.555035;0.555035;9.19757;3259.08;31.6096
QAPJUN;C12 Cl2 Co1 H20 N4 O4;-4;I -4 3 d;220;0;0.75;0.125;5.90397;862.004;17.857
OYOVUU;B1 C24 Cl1 H39 Mn1 N6;3;I -4 3 d;220;0.00873929;0.508739;0.991261;6.10764;954.323;22.4209
QOWDOW;C42 Co1 H27 N12;3;I -4 3 d;220;0.818871;0.181129;0.681129;6.87648;1361.99;24.6815
QOWDOW;H2 O1;m m 2;I -4 3 d;220;0.788637;0.409493;0.54784;0.696517;1.41537;24.6815
REVTAN;Au3 C37 H31 I3 P3;3;I -4 3 d;220;0.0257482;0.0257482;0.0257482;6.45843;1128.38;25.274
OTIWAR02;C84 Cu4 H84 I4 P4;3;I -4 3 d;220;0.054777;0.445223;0.554777;9.31085;3380.99;31.8835
TAZBFE;C21 Fe1 H24 N7;3;I -4 3 d;220;0.152964;0.152964;0.152964;5.40015;659.62;20.058
TEHSUV;B1 C24 H1 N6 Na1 O3;3;I -4 3 d;220;0.985136;0.485136;0.0148644;5.3639;646.425;22.056
SOTSAW;C51 Cl1 H63 Hf1 N6 Si3;3;I -4 3 d;220;1.00049;0.000489304;0.000489304;7.74427;1945.44;27.377
SOTROJ;C51 Cl1 H63 N6 Si3 Zr1;3;I -4 3 d;220;0.000529936;0.000529936;1.00053;7.77735;1970.47;27.46
TRPAMN01;C21 H24 Mn1 N7;3;I -4 3 d;220;0.0945721;0.405428;0.594572;5.46102;682.176;20.1006
TOKYIB;C30 H42 Mo1 N4;3;I -4 3 d;220;0.954443;0.454443;0.0455571;5.43235;671.491;22.783
TRPAMN02;C21 H24 Mn1 N7;3;I -4 3 d;220;0.906088;0.406088;0.0939119;5.417;665.814;20.2152
TRPAMN03;C21 H24 Mn1 N7;3;I -4 3 d;220;0.906273;0.406273;0.0937268;5.42273;667.929;20.282
TRPAMN04;C21 H24 Mn1 N7;3;I -4 3 d;220;0.0966905;0.40331;0.59669;5.33955;637.661;19.9576
OTIWAR03;C84 Cu4 H78 I4 P4;3;I -4 3 d;220;0.55236;0.55236;0.55236;9.12689;3184.52;31.6723
TRPAMN05;C21 H24 Mn1 N7;3;I -4 3 d;220;0.593948;0.0939475;0.406052;5.41279;664.261;19.786
UPOBAE;C21 H24 N7 Ru1;3;I -4 3 d;220;0.904564;0.404564;0.0954362;5.3948;657.661;19.9699
VIHDUN;C25 H16 N4 O4;-4;I -4 3 d;220;0;0.75;1.125;6.42674;1111.85;18.0373
UWUTUE01;C32 H40 Li4 N4;-4;I -4 3 d;220;0.625;0;0.75;6.00912;908.886;21.1726
WEPVOE;B1 C25 H43 Mg1 N6;3;I -4 3 d;220;-0.0114355;0.988564;0.988564;6.06155;932.884;22.402
