REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
HXMTAM04;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46146;62.4673;6.931
HXMTAM05;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.47715;63.6696;6.91
HXMTAM03;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46192;62.5026;7.021
HXMTAM08;C6 N4;-4 3 m;I -4 3 m;217;0;0;0;1.67358;19.6342;7.028
HXMTAM07;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.4371;60.6309;7.028
HXMTAM09;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.47465;63.4772;6.956
HXMTAM10;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.47801;63.7359;6.9274
HXMTAM11;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.48256;64.0875;6.9337
HXMTAM12;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.4772;63.6734;6.9424
HXMTAM13;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.47433;63.4526;6.9551
HXMTAM14;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.4713;63.2198;6.9693
HXMTAM15;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46745;62.9249;6.9835
HXMTAM16;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.4111;58.7115;7.028
HMSIPA;C12 H36 P4 Si6;-4 3 m;I -4 3 m;217;0.5;0.5;0.5;4.45966;371.52;10.817
HXMTAM18;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.43196;60.2483;7.028
HXMTAM17;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46675;62.8711;7.028
HXMTAM19;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46675;62.8711;7.028
HXMTAM20;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46675;62.8711;7.028
HXMTAM21;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.38142;56.5698;7.028
HMGETP01;C12 Ge6 H36 P4;-4 3 m;I -4 3 m;217;0;0;0;4.62061;413.214;10.901
HXMTAM22;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.44074;60.9031;7.028
HXMTAM23;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.44074;60.9031;7.028
