REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
AFUVAZ;C26 H29 N3 O3;1;I 2 3;197;0.434508;0.213738;0.142593;7.17915;1549.87;25.4211
AHIWUM;C48 H55 O40;1;I 2 3;197;0.321672;0.18878;0.504031;8.39383;2477.17;41.7665
BABFIU;Br3 C18 H48 P6 Se4 W3;3;I 2 3;197;0.748362;0.251638;0.251638;6.01962;913.656;21.0599
FAZLUO;C6 H6;6/m m m;I 2 3;197;0.5;1;1.11978;2.34438;53.971;26.0844
BABFIU;F6 P1;4/m m m;I 2 3;197;0.5;0.5;0.347143;1.6186;17.7622;21.0599
BABFIU;F6 P1;4/m m m;I 2 3;197;0.5;0;0;1.61529;17.6535;21.0599
FOGRUO;C12 H36 Mo1 N6;2 3;I 2 3;197;-0.5;-0.5;-0.5;3.81442;232.467;9.701
GEQCOU;C36 H30 N1 P2;3 2;I 2 3;197;0.250177;0.250177;0.250177;6.25021;1022.73;21.836
FAZLUO;C63 H90 N9 O6 Rh3;3;I 2 3;197;0.251838;0.748162;1.25184;8.57382;2639.97;26.0844
FAZLUO;C6 H6;6/m m m;I 2 3;197;0.497514;0.892358;1.27548;2.32996;52.9811;26.0844
GEXSAF;C18 F3 H12 P1 Se1;3;I 2 3;197;0.205027;0.205027;0.794973;5.56638;722.427;16.3328
GEXSAF;Bi1 Br3;3 m;I 2 3;197;0.152112;0.152112;1.15211;2.2641;48.6144;16.3328
GEXSEJ;C18 F3 H12 P1 Se1;3;I 2 3;197;0.794104;0.794104;0.794104;5.55507;718.033;16.1403
GEXSEJ;Bi1 Cl3;3 m;I 2 3;197;0.848223;0.848223;1.15178;2.13886;40.985;16.1403
GEQCOU;C32 F2 H16 N8 Re1;2 2 2;I 2 3;197;0;0.5;0.5;7.47868;1752.07;21.836
HMGETP;C12 Ge6 P4;-4 3 m;I 2 3;197;0;0;0;4.07333;283.09;10.901
AHIWUM;O40 P1 W12;-4 3 m;I 2 3;197;0.237288;0.255893;0.502098;5.24382;603.976;41.7665
AHIWUM;Co1 O6;3 2;I 2 3;197;0.255024;0.255024;0.255024;2.11608;39.689;41.7665
ICUCAK;Al3 C63 Cl6 H75 O9;3;I 2 3;197;0.19834;0.19834;0.19834;8.88716;2940.12;25.1228
ICUCAK;C4 H8 O1;m m 2;I 2 3;197;0.222165;0.0186269;0.323858;2.08713;38.0825;25.1228
KEFDOQ;C48 H42 O13 Zn4;3;I 2 3;197;0.180096;0.180096;0.180096;9.78463;3923.82;23.034
KOGXIO;C4 H8 O1;m m 2;I 2 3;197;0.215792;1;0;2.30628;51.3824;20.1191
KOGXIO;C18 H33 N9 O6 S3 Sn3;3;I 2 3;197;0.197576;0.802424;0.197576;7.86416;2037.19;20.1191
ALAFIE;C36 Cu4 H84 I4 Sb4;2 3;I 2 3;197;1;0;0;6.96335;1414.27;14.076
PAVTAK;C12 H24 N3 O19 V6;3;I 2 3;197;0.29059;0.70941;0.29059;5.85379;840.209;19.168
PAVTAK;H2 O1;m m 2;I 2 3;197;0.4879;0.577467;0.324033;0.966813;3.78533;19.168
PAVTAK;H2 O1;m m 2;I 2 3;197;0.422533;0.675967;0.4879;0.966813;3.78533;19.168
PAVTAK;H2 O1;m m 2;I 2 3;197;0.324033;0.5121;0.422533;0.966813;3.78533;19.168
PIPNAD;C1 F3 S1;m;I 2 3;197;0.65477;0.159158;0.044102;1.74026;22.0759;13
GUPKEJ;C24 H60 Mn4 P4 Te4;2 3;I 2 3;197;0;1;1;6.26806;1031.51;13.1741
RALVUW;C42 Fe2 H52 N2 O10 Pd3;2;I 2 3;197;0.185318;0;0.5;7.96613;2117.48;25.4791
OLOGIG;C92 Cl2 H92 Lu2 N8;2 2 2;I 2 3;197;0;0.5;0.5;9.22571;3289.09;24.629
TAVGOM;C36 Cs4 F4 Ga4 H84;2 3;I 2 3;197;0;0;0;7.01361;1445.11;13.963
TIJROV;C18 H48 Mo3 P6 S7;3;I 2 3;197;0.249044;0.750956;0.750956;5.97254;892.385;20.7247
TIJROV;F6 P1;m -3 m;I 2 3;197;0;1;0.5;1.61653;17.6939;20.7247
TUCFOO;C9 H18 N1 Sn1;3;I 2 3;197;0.814305;0.185695;0.814305;3.34397;156.626;13.7856
TUCFOO;F6 Sb1;m -3 m;I 2 3;197;0.5;0;1;1.86743;27.2778;13.7856
VUHYON;C45 H48 Ir1 N9;3;I 2 3;197;0.821589;0.821589;0.821589;6.66133;1238.11;20.745
VUHYON;F6 P1;m -3 m;I 2 3;197;0.5;1;1;1.59907;17.1269;20.745
VUHYON;F6 P1;m -3 m;I 2 3;197;1;1;1;1.57662;16.4156;20.745
TAVGUS;C36 Cs4 F4 H84 In4;2 3;I 2 3;197;0;0;0;7.19603;1560.82;14.171
OVEHAB;C96 H108 P4 Pd1;2 3;I 2 3;197;1;0;1;7.99068;2137.11;15.9326
POSHOU01;C60;1;I 2 3;197;0.811377;0.811377;0.811377;3.55629;188.394;18.8492
POSHOU01;C4 N4 S6;2 2 2;I 2 3;197;1;0.5;1;4.24258;319.864;18.8492
