REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
CIXWOW;C4 H10 O2;2;I a -3;206;0.982216;0;0.25;3.77374;225.108;25.75
AETSMN;C27 Cl3 H24 Mn1 N4 O3;3;I a 3;206;0.130351;0.130351;0.130351;7.45257;1733.78;22.49
CIXYEO;C4 H10 O2;2;I a -3;206;0.230025;0;-0.25;3.74418;219.86;25.758
ACAJIX;C36 F12 H18 Ir1 N3;3;I a -3;206;0.635375;-0.135375;0.135375;6.16751;982.665;23.6916
DUPXOD;C31 H21;3 2;I a -3;206;0.0427681;0.0427681;0.0427681;8.13428;2254.41;20.203
NAHACE03;C4 H7 O4;2;I a -3;206;0;0.25;0.10292;3.89094;246.74;15.902
QEZCUU;C18 Ce1 N18 O6;-3;I a -3;206;0.5;0.5;0.5;5.81561;823.875;22.535
QEZCUU;C8 H20 N1;m m 2;I a -3;206;0.654393;0.5;0.25;3.40335;165.119;22.535
CADXOU;Ag2 C6 H12 O6;-3 m;I a 3;206;0;0;0;3.05784;119.762;16.376
QEZDAB;C18 Gd1 N18 O6;-3;I a -3;206;0.5;0.5;0.5;5.73072;788.32;22.3927
CADXOU;As1 F6;m -3 m;I a 3;206;0.217229;0;0.25;1.73144;21.7419;16.376
QEZDAB;C8 H20 N1;m m 2;I a -3;206;0.658405;0.5;0.25;3.39342;163.677;22.3927
QEZDEF;C18 La1 N18 O6;-3;I a -3;206;0.5;0.5;0.5;5.84252;835.367;22.5835
QEZDIJ;C18 N18 Nd1 O6;-3;I a -3;206;0.5;0.5;0.5;5.78742;811.951;22.4898
QEZDEF;C8 H20 N1;-4 2 m;I a -3;206;0.654176;0.5;0.25;3.39074;163.289;22.5835
QEZDIJ;C8 H20 N1;-4 2 m;I a -3;206;0.656159;0.5;0.25;3.40051;164.706;22.4898
ZOWNAA;C21 Co1 H18 N3 O9;3;I a 3;206;0.0952577;0.0952577;0.0952577;7.64071;1868.43;20.792
ZZZWFC01;C12 H30 N6 Ni1 O6;-3;I a -3;206;0.25;0.25;0.25;5.04011;536.285;16.8052
ZZZWFC01;N1 O3;-6 m 2;I a -3;206;0.590295;0.090295;0.409705;1.23859;7.95902;16.8052
CIXWOW;C82 Co2 H78 P6 S1;-3;I a -3;206;0.75;0.25;0.25;7.73146;1935.8;25.75
CIXYEO;C82 Co2 H78 P6 Se1;-3;I a -3;206;0;0;0;7.76847;1963.73;25.758
