REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
CILPAO10;C12 Cl8 H36 P4 Ta2;m m m;I m 3;204;0;0.5;0;5.9214;869.659;16.4
CUHVEG;C12 Cl8 H36 Nb2 P4;m m m;I m 3;204;0.5;0;0;5.78988;812.989;16.372
CILPAO;C12 Cl8 H36 P4 Ta2;m m m;I m 3;204;0;0.5;0;5.9214;869.659;16.4
DEKBIF;C20 Er2 H24 N2;m m m;I m -3;204;0.5;1;0.5;4.75658;450.776;14.5007
TCYETY01;C6 N4;m m m;I m 3;204;0;0.5;0.5;2.99187;112.177;9.736
DEKBIF01;C20 Er2 H24 N2;m m m;I m -3;204;0.5;1;0.5;4.75477;450.262;14.351
CUHVEG01;C12 Cl8 H36 Nb2 P4;m m m;I m 3;204;0;0.5;0;5.82254;826.826;16.39
TCYETY12;C6 N4;m m m;I m -3;204;1;0.5;0.5;3.01284;114.552;9.6326
TCYETY02;C6 N4;m m m;I m 3;204;0;0.5;0.5;2.99306;112.31;9.736
DEKBUR02;C20 H24 N2 Yb2;m m m;I m -3;204;0.5;0;0.5;4.76779;453.971;14.4104
