REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
CESVEC;C24 Cd1 H30 N12 S6;3;P -4 3 n;218;0.172775;0.172775;0.172775;6.27843;1036.64;19.491
CESVEC;Cl1 O4;-4 3 m;P -4 3 n;218;0;0;0;1.41351;11.8296;19.491
CESVEC;Cl1 O4;-4 3 m;P -4 3 n;218;0.5;0;0.25;1.44815;12.7208;19.491
CESVEC;Cl1 O4;-4 3 m;P -4 3 n;218;0.808478;0.191522;0.191522;1.43403;12.3524;19.491
FEKPIV;C24 H52 Ni4 O8 P4;-4;P -4 3 n;218;1;0.25;0.5;6.20798;1002.13;18.9491
BUPVIR;C24 Cr4 S4;-4;P -4 3 n;218;0.25;0.5;0;4.55126;394.886;16.176
FISCOC;C26 H28 N6 Ni1 O4 S2;2 2 2;P -4 3 n;218;0.5;1;1;7.99813;2143.1;17.2262
FISCOC;C2 H3 N1;3 m;P -4 3 n;218;0.831483;0.831483;0.831483;2.0642;36.8409;17.2262
KOXKOX;C16 Ga4 H36 Se4;-4;P -4 3 n;218;-0.25;-0.5;0;5.60096;735.974;17.667
BUPVIR01;C24 Cr4 H28 S4;-4;P -4 3 n;218;-0.25;-0.5;0;5.55801;719.173;16.154
NAWWAK;C45 H51 Ir1 O3 P5;3;P -4 3 n;218;0.81229;0.81229;0.81229;6.92248;1389.51;21.4631
NAWWAK;B1 F4;-4 3 m;P -4 3 n;218;0.87942;1.12058;0.87942;1.37102;10.7946;21.4631
PUSSUR;Ge4 Se10;-4 3 m;P -4 3 n;218;0;0.5;0.25;4.59003;405.062;20.028
PUSSUR;Ge4 Se10;-4 3 m;P -4 3 n;218;0;0;0;4.59289;405.821;20.028
PUSSUR;C4 H12 N1;3;P -4 3 n;218;0.336465;0.336465;0.336465;2.0906;38.2728;20.028
PUSSUR;C4 H12 N1;1;P -4 3 n;218;0.152759;0.339276;0.0832471;2.08771;38.1139;20.028
QOPZOL;C42 Cu4 H33 I1 N24 S6;3;P -4 3 n;218;0.15463;0.84537;0.84537;9.82127;3968.07;22.4646
GUHNUS;C72 H60 Sn5;2 3;P -4 3 n;218;0;0;0;7.39025;1690.65;15.507
GUHNUS;C6;2 2 2;P -4 3 n;218;0;0.5;0.5;1.35531;10.4278;15.507
KOXKOX;C16 Ga4 H36 Se4;2 3;P -4 3 n;218;0;0;0;5.72884;787.546;17.667
SENLAY;C16 H36 P4 Si4;2 3;P -4 3 n;218;1;1;1;5.00804;526.113;17.409
SENLAY;C16 H36 P4 Si4;-4;P -4 3 n;218;0.25;0.5;0;5.44165;674.945;17.409
TAMCUG01;Cl10 Cu4 O1;-4 3 m;P -4 3 n;218;0.25;0;0.5;4.18856;307.801;19.361
TAMCUG01;Cl10 Cu4 O1;-4 3 m;P -4 3 n;218;0;0;0;4.1616;301.895;19.361
TAMCUG01;C4 N1;-4 3 m;P -4 3 n;218;0.33646;0.33646;0.33646;1.40701;11.6671;19.361
TAMCUG01;C4 N1;-4 3 m;P -4 3 n;218;0.85488;0.33928;0.92332;1.511;14.45;19.361
UDIJEY;C16 F36 O4 Tl4;-4;P -4 3 n;218;0.5;0.75;1;5.62418;745.165;18.4447
UDIJEY;C16 F36 O4 Tl4;2 3;P -4 3 n;218;1;1;1;5.59611;734.067;18.4447
RUQMEV;C12 Cu4 H36 I4 N4;2 3;P -4 3 n;218;0.5;0.5;0.5;5.39513;657.782;17.976
QUKVOI;Ag6 Bi3 C108 Cl3 H117 P3 S12;3;P -4 3 n;218;0.302084;0.302084;0.697916;10.3495;4643.34;31.619
WABLOC;C16 H36 O4 Tl4;2 3;P -4 3 n;218;0.5;0.5;0.5;5.03489;534.62;17.15
WABLOC;C16 H36 O4 Tl4;-4;P -4 3 n;218;0.75;1;0.5;5.06202;543.31;17.15
YAFTIL02;C16 H36 N1;-4;P -4 3 n;218;0.5;0.25;1;5.88773;854.906;18.5044
YAFTIL02;C1 Cl9 Si3;3;P -4 3 n;218;0.177968;0.177968;0.822032;3.31496;152.584;18.5044
YEBKUL;Ge4 S10;-4 3 m;P -4 3 n;218;0;0;0;4.38259;352.588;19.554
YEBKUL;Ge4 S10;-4 3 m;P -4 3 n;218;0.5;0.25;0;4.33448;341.103;19.554
YEBKUL;C4 H12 N1;-4 3 m;P -4 3 n;218;0.837435;0.162565;0.162565;2.01989;34.5188;19.554
YEBKUL;C4 H12 N1;4 3 2;P -4 3 n;218;0.653324;0.420612;0.161635;2.07354;37.3436;19.554
RUQMEV;C12 Cu4 H36 I4 N4;-4 2 m;P -4 3 n;218;0;0.5;0.25;5.42937;670.383;17.976
RALJIB;C20 H21 N3 O6;3;P -4 3 n;218;0.370801;0.629199;0.629199;7.65819;1881.29;15.87
ZOHQAQ;C28 Cu4 H52 I4 N4;2 3;P -4 3 n;218;1;1;1;7.30898;1635.48;19.7281
ZOHQAQ;C28 Cu4 H52 I4 N4;-4;P -4 3 n;218;0.5;0.75;1;7.29746;1627.76;19.7281
VUBYAV;C40 Ge4 H60 N4;2 3;P -4 3 n;218;0.5;0.5;0.5;6.82792;1333.34;19.535
CESHAK;C84 Cu24 H120 I10 N72;2 3;P -4 3 n;218;0;0;1;10.303;4581.1;22.4209
CESHAK;Mo12 O40 P1;-4 3 m;P -4 3 n;218;0;0.25;0.5;5.24808;605.448;22.4209
VUBYAV;C40 Ge4 H60 N4;-4 2 m;P -4 3 n;218;0;0.75;0.5;6.82376;1330.91;19.535
