REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
KERGEV;C6 Fe1 O12;3;P 41 3 2;213;0.513463;0.486537;-0.0134632;4.05933;280.18;13.597
RORRAR;C6 Fe1 O12;3;P 41 3 2;213;0.0133063;0.0133063;0.0133063;4.04323;276.861;13.555
PHSNSB;C2 H6 N6 S3 Si2;3 2;P 41 3 2;213;0.375;0.375;0.375;4.01982;272.08;10.245
SERNAE;Al1 C6 H6 O9;3;P 41 3 2;213;-0.0246655;-0.0246655;-0.0246655;3.92193;252.683;12.872
VIDTEK;C6 Fe1 O12;3 2;P 41 3 2;213;-0.0114616;0.488538;0.0114616;4.01465;271.03;13.7995
SERNAE10;Al2 C12 H15 O18;3 2;P 41 3 2;213;-0.125;-0.125;-0.125;5.18095;582.511;12.872
EWEPEE;Ag3 C12 H36 N6 Rh2 S6;3 2;P 41 3 2;213;0.636037;0.636037;0.636037;5.77454;806.545;19.329
EWEPEE;C4 H4 O6;2;P 41 3 2;213;0.750924;0.999076;0.875;2.81817;93.7518;19.329
EWEFIY;Ag3 C12 Co2 H36 N6 S6;3 2;P 41 3 2;213;0.636199;0.636199;0.636199;5.74675;794.955;19.2754
EWEFIY;C4 H4 O6;2;P 41 3 2;213;0.750427;0.999573;0.875;2.79872;91.8239;19.2754
